f00_lang_qn,wave,f01_transit,f01_shop,f01_time_ff,f01_time_al,f01_eat_pic,f01_eat_caf,f01_sport,f01_pet,f01_sight,f01_cultural,f01_political,f01_parking,f01_other,f02_time_level,f02_time,f03_rel_level,f03_rel,f04_walk,f04_bike,f04_scooter,f04_bus,f04_tram,f04_train,f04_car,f04_taxi,f04_other,f05_last_trans_level,f05_last_trans,f06_freq_level,f06_freq,f09_stranger_level,f09_stranger,f10_year,f12_adult,f12_kids,f13_occ1_level,f13_occ1,f14_mainlang1_level,f14_mainlang1,f15_country_grp_level,f15_country_grp,f16_edu_level,f16_edu,f17_rev_level,f17_rev,f18_gender_level,f18_gender,f19_alone,f19_partner,f19_kids,f19_friend,f19_other,f20_square,datetime,wday,timeslot,f23_interviewer,age,hh_size,group_size
de,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,2,resident,1,0,0,0,0,0,0,0,0,1,walk,2,several times a week,1,nobody,2005,2,NA,3,edu,1,Swiss-German,1,Switzerland,NA,NA,4,9-12'000,2,male,2,NA,NA,NA,NA,Hallwylplatz,2021-06-15T12:00:00Z,3,12-14,I_3,16,2,1
de,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,60min+,5,visitor,1,0,0,0,0,1,0,0,0,1,walk,2,several times a week,1,nobody,1950,1,NA,6,retired,2,Standard German,2,N/W/Central Europe,6,university,4,9-12'000,2,male,2,NA,NA,NA,NA,Hallwylplatz,2021-06-15T17:00:00Z,3,16-18,I_1,71,1,1
de,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,10-19min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,4,several times a year,1,nobody,1962,1,NA,2,part-time,1,Swiss-German,1,Switzerland,6,university,3,6-9'000,2,male,2,NA,NA,NA,NA,Hallwylplatz,2021-08-31T13:50:00Z,3,12-14,I_3,59,1,1
de,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,3,employed nearby,1,0,0,0,0,1,0,0,0,1,walk,2,several times a week,1,nobody,1965,3,NA,1,full-time,1,Swiss-German,1,Switzerland,6,university,6,>15'000,2,male,2,NA,NA,NA,NA,Hallwylplatz,2021-08-31T08:07:00Z,3,8-10,I_8,56,3,1
de,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,5,visitor,1,0,0,0,0,0,1,0,0,1,walk,2,several times a week,1,nobody,1957,2,NA,1,full-time,1,Swiss-German,1,Switzerland,6,university,6,>15'000,2,male,2,NA,NA,NA,NA,Idaplatz,2021-06-22T13:37:00Z,3,12-14,I_4,64,2,1
de,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,3,employed nearby,1,0,0,0,0,1,0,0,0,1,walk,1,(almost) everyday,1,nobody,1961,3,NA,1,full-time,1,Swiss-German,1,Switzerland,4,high school,6,>15'000,2,male,2,NA,NA,NA,NA,Hallwylplatz,2021-08-31T08:10:00Z,3,8-10,I_1,60,3,1
de,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,10-19min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,2,several times a week,2,"yes, familiar",1970,1,1,1,full-time,4,Italian,2,N/W/Central Europe,6,university,5,12-15'000,2,male,2,NA,NA,NA,NA,Lindenplatz,2021-09-07T12:50:00Z,3,12-14,I_3,51,2,1
en,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,2,resident,1,0,0,0,0,0,0,0,0,1,walk,2,several times a week,1,nobody,1999,6,NA,1,full-time,10,other,3,Southern Europe,4,high school,6,>15'000,1,female,2,NA,NA,NA,NA,Lindenplatz,2021-09-07T09:40:00Z,3,8-10,I_6,22,6,1
de,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6,60min+,3,employed nearby,1,0,0,1,1,1,0,0,0,1,walk,2,several times a week,2,"yes, familiar",2004,2,NA,2,part-time,1,Swiss-German,1,Switzerland,2,compulsory,5,12-15'000,2,male,2,NA,NA,NA,NA,Idaplatz,2021-06-26T13:10:00Z,7,12-14,I_3,17,2,1
de,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,30-59min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,1,(almost) everyday,2,"yes, familiar",1967,2,NA,1,full-time,1,Swiss-German,1,Switzerland,6,university,5,12-15'000,2,male,1,NA,NA,1,NA,Hallwylplatz,2021-08-31T13:20:00Z,3,12-14,I_7,54,2,2
de,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,none/transit,5,visitor,1,0,0,0,1,1,0,0,0,1,walk,5,never,NA,NA,1957,2,NA,6,retired,1,Swiss-German,2,N/W/Central Europe,6,university,4,9-12'000,1,female,1,1,NA,NA,NA,Hallwylplatz,2021-06-15T17:45:00Z,3,16-18,I_3,64,2,2
de,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,20-29min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,3,several times a month,1,nobody,1966,5,NA,1,full-time,1,Swiss-German,1,Switzerland,6,university,5,12-15'000,2,male,1,NA,NA,2,NA,Hallwylplatz,2021-06-15T12:05:00Z,3,12-14,I_5,55,5,3
de,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,20-29min,3,employed nearby,1,0,0,0,0,0,1,0,0,1,walk,5,never,NA,NA,1967,3,NA,1,full-time,1,Swiss-German,5,Other,4,high school,3,6-9'000,2,male,2,NA,NA,NA,NA,Idaplatz,2021-09-02T09:20:00Z,5,8-10,I_8,54,3,1
de,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,10-19min,5,visitor,0,0,0,0,0,0,1,0,0,7,car,4,several times a year,1,nobody,1961,2,NA,1,full-time,1,Swiss-German,1,Switzerland,6,university,6,>15'000,2,male,1,1,NA,NA,NA,Lindenplatz,2021-06-24T09:00:00Z,5,8-10,I_5,60,2,2
de,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,10-19min,5,visitor,0,0,0,0,0,0,1,0,0,7,car,4,several times a year,1,nobody,1964,2,NA,5,housewife,10,other,5,Other,6,university,6,>15'000,1,female,1,1,NA,NA,NA,Lindenplatz,2021-06-24T09:00:00Z,5,8-10,I_5,57,2,2
de,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,4,student nearby,1,0,0,0,0,0,0,0,0,1,walk,2,several times a week,1,nobody,2004,5,NA,3,edu,2,Standard German,2,N/W/Central Europe,2,compulsory,7,doesn't know,1,female,2,NA,NA,NA,NA,Lindenplatz,2021-09-07T16:30:00Z,3,16-18,I_3,17,5,1
de,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,5,visitor,1,0,0,0,0,0,1,0,0,1,walk,2,several times a week,1,nobody,1991,1,NA,1,full-time,1,Swiss-German,1,Switzerland,5,higher ed,3,6-9'000,2,male,1,NA,NA,1,NA,Hallwylplatz,2021-06-15T09:35:00Z,3,8-10,I_6,30,1,2
de,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,20-29min,3,employed nearby,0,0,0,0,0,0,1,0,0,7,car,1,(almost) everyday,2,"yes, familiar",1978,2,3,1,full-time,10,other,5,Other,6,university,2,3-6'000,2,male,2,NA,NA,NA,NA,Lindenplatz,2021-06-24T12:10:00Z,5,12-14,I_6,43,5,1
de,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5,30-59min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,3,several times a month,1,nobody,1989,3,NA,1,full-time,10,other,1,Switzerland,6,university,5,12-15'000,1,female,1,NA,NA,1,NA,Hallwylplatz,2021-06-19T13:55:00Z,7,12-14,I_1,32,3,2
de,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,30-59min,5,visitor,1,0,0,0,0,0,0,0,0,1,walk,5,never,NA,NA,1988,2,NA,2,part-time,1,Swiss-German,1,Switzerland,6,university,3,6-9'000,2,male,1,NA,NA,1,NA,Idaplatz,2021-09-02T16:39:00Z,5,16-18,I_4,33,2,2
de,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,30-59min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,3,several times a month,2,"yes, familiar",1986,2,2,2,part-time,1,Swiss-German,1,Switzerland,3,apprenticeship,3,6-9'000,2,male,1,NA,NA,1,NA,Idaplatz,2021-09-02T17:28:00Z,5,16-18,I_4,35,4,2
en,2,0,0,0,1,0,0,0,0,0,0,0,0,0,6,60min+,NA,NA,1,0,0,0,1,0,0,0,0,1,walk,4,several times a year,1,nobody,1975,2,2,4,unemployed,5,French,2,N/W/Central Europe,6,university,6,>15'000,2,male,2,NA,NA,NA,NA,Idaplatz,2021-09-02T17:00:00Z,5,16-18,I_5,46,4,1
de,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,less 10min,NA,NA,1,0,0,0,0,1,0,0,0,1,walk,4,several times a year,NA,NA,1983,2,NA,2,part-time,1,Swiss-German,1,Switzerland,6,university,4,9-12'000,NA,NA,1,NA,NA,1,NA,Lindenplatz,2021-07-03T15:45:00Z,7,14-16,I_3,38,2,2
