f00_lang_qn,wave,f01_transit,f01_shop,f01_time_ff,f01_time_al,f01_eat_pic,f01_eat_caf,f01_sport,f01_pet,f01_sight,f01_cultural,f01_political,f01_parking,f01_other,f02_time_level,f02_time,f03_rel_level,f03_rel,f04_walk,f04_bike,f04_scooter,f04_bus,f04_tram,f04_train,f04_car,f04_taxi,f04_other,f05_last_trans_level,f05_last_trans,f06_freq_level,f06_freq,f09_stranger_level,f09_stranger,f10_year,f12_adult,f12_kids,f13_occ1_level,f13_occ1,f14_mainlang1_level,f14_mainlang1,f15_country_grp_level,f15_country_grp,f16_edu_level,f16_edu,f17_rev_level,f17_rev,f18_gender_level,f18_gender,f19_alone,f19_partner,f19_kids,f19_friend,f19_other,f20_square,datetime,wday,timeslot,f23_interviewer,age,hh_size,group_size
de,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,30-59min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,4,several times a year,1,nobody,1963,2,NA,2,part-time,1,Swiss-German,1,Switzerland,3,apprenticeship,4,9-12'000,1,female,1,NA,NA,1,NA,Hallwylplatz,2021-08-31T12:35:00Z,3,12-14,I_6,58,2,2
de,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,none/transit,3,employed nearby,1,0,0,0,0,1,0,0,0,1,walk,2,several times a week,1,nobody,2003,3,1,3,edu,1,Swiss-German,1,Switzerland,2,compulsory,7,doesn't know,1,female,1,NA,NA,1,NA,Lindenplatz,2021-09-07T12:30:00Z,3,12-14,I_8,18,4,2
de,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,2,several times a week,1,nobody,1975,3,1,1,full-time,2,Standard German,2,N/W/Central Europe,6,university,NA,NA,1,female,2,NA,NA,NA,NA,Hallwylplatz,2021-06-15T17:30:00Z,3,16-18,I_2,46,4,1
de,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,10-19min,3,employed nearby,1,0,0,0,1,0,0,0,0,1,walk,3,several times a month,1,nobody,1971,5,NA,2,part-time,2,Standard German,4,Eastern Europe,4,high school,2,3-6'000,1,female,2,NA,NA,NA,NA,Hallwylplatz,2021-06-15T16:45:00Z,3,16-18,I_6,50,5,1
de,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,20-29min,6,tourist,1,0,0,1,1,1,0,0,0,1,walk,5,never,NA,NA,1979,2,1,2,part-time,1,Swiss-German,1,Switzerland,6,university,1,<3'000,1,female,1,NA,1,NA,NA,Hallwylplatz,2021-06-19T12:40:00Z,7,12-14,I_2,42,3,2
de,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,less 10min,3,employed nearby,1,0,0,0,0,1,0,0,0,1,walk,2,several times a week,2,"yes, familiar",1996,2,2,1,full-time,1,Swiss-German,1,Switzerland,6,university,5,12-15'000,2,male,1,NA,NA,2,NA,Lindenplatz,2021-06-24T12:15:00Z,5,12-14,I_6,25,4,3
de,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,less 10min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,1,(almost) everyday,2,"yes, familiar",1968,3,NA,1,full-time,1,Swiss-German,1,Switzerland,5,higher ed,3,6-9'000,1,female,2,NA,NA,NA,NA,Hallwylplatz,2021-06-19T12:15:00Z,7,12-14,I_2,53,3,1
de,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,20-29min,3,employed nearby,1,0,0,0,0,1,0,0,0,1,walk,3,several times a month,1,nobody,1983,2,NA,1,full-time,1,Swiss-German,1,Switzerland,3,apprenticeship,4,9-12'000,2,male,2,NA,NA,NA,NA,Idaplatz,2021-06-26T12:25:00Z,7,12-14,I_2,38,2,1
de,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,3,several times a month,1,nobody,1963,4,NA,1,full-time,1,Swiss-German,1,Switzerland,6,university,NA,NA,2,male,1,NA,NA,1,NA,Lindenplatz,2021-09-07T13:00:00Z,3,12-14,I_8,58,4,2
de,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,20-29min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,2,several times a week,1,nobody,1954,1,NA,1,full-time,1,Swiss-German,1,Switzerland,5,higher ed,3,6-9'000,2,male,2,NA,NA,NA,NA,Hallwylplatz,2021-06-15T12:40:00Z,3,12-14,I_2,67,1,1
de,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,60min+,4,student nearby,1,0,0,0,0,0,0,0,0,1,walk,3,several times a month,1,nobody,1998,2,NA,2,part-time,1,Swiss-German,1,Switzerland,3,apprenticeship,4,9-12'000,1,female,1,NA,NA,2,NA,Hallwylplatz,2021-08-31T12:50:00Z,3,12-14,I_7,23,2,3
de,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,20-29min,4,student nearby,0,0,0,0,1,1,0,0,0,5,tram,3,several times a month,1,nobody,1979,4,NA,2,part-time,1,Swiss-German,3,Southern Europe,3,apprenticeship,3,6-9'000,1,female,1,NA,NA,3,NA,Hallwylplatz,2021-08-31T12:10:00Z,3,12-14,I_6,42,4,4
de,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,20-29min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,3,several times a month,1,nobody,1969,2,2,1,full-time,1,Swiss-German,1,Switzerland,6,university,3,6-9'000,2,male,1,NA,NA,2,NA,Hallwylplatz,2021-06-15T12:05:00Z,3,12-14,I_5,52,4,3
de,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,5,visitor,0,0,0,1,1,0,0,0,0,5,tram,3,several times a month,1,nobody,1988,2,NA,1,full-time,8,Serbo-Croat,5,Other,6,university,4,9-12'000,2,male,1,1,NA,2,NA,Idaplatz,2021-06-26T13:00:00Z,7,12-14,I_5,33,2,4
de,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,none/transit,5,visitor,0,0,0,0,0,0,1,0,0,7,car,2,several times a week,1,nobody,1996,2,NA,2,part-time,4,Italian,3,Southern Europe,4,high school,4,9-12'000,NA,NA,1,1,NA,NA,NA,Hallwylplatz,2021-08-31T16:00:00Z,3,16-18,I_1,25,2,2
de,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,none/transit,5,visitor,0,0,0,0,0,0,1,0,0,7,car,2,several times a week,1,nobody,1994,4,NA,1,full-time,4,Italian,3,Southern Europe,4,high school,4,9-12'000,NA,NA,1,1,NA,NA,NA,Hallwylplatz,2021-08-31T16:00:00Z,3,16-18,I_1,27,4,2
de,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,30-59min,5,visitor,1,0,0,0,0,1,0,0,0,1,walk,5,never,NA,NA,1991,2,1,5,housewife,1,Swiss-German,1,Switzerland,6,university,3,6-9'000,1,female,2,NA,NA,NA,NA,Hallwylplatz,2021-06-19T12:15:00Z,7,12-14,I_6,30,3,1
de,1,0,0,1,0,1,0,0,0,0,0,0,0,0,5,30-59min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,2,several times a week,1,nobody,1962,4,NA,2,part-time,1,Swiss-German,1,Switzerland,3,apprenticeship,5,12-15'000,1,female,2,NA,NA,NA,NA,Hallwylplatz,2021-06-15T12:35:00Z,3,12-14,I_6,59,4,1
